sensorId,lat,lon,boxName,boxId,unit,time_start,arithmeticMean_10m
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T00:50:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T01:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T01:10:00.000Z,23.00908
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T01:20:00.000Z,23.000059999999998
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T01:30:00.000Z,45.95901
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T01:40:00.000Z,68.70004
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T01:50:00.000Z,70.63606
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T02:00:00.000Z,23.00985
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T02:10:00.000Z,22.92161
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T02:20:00.000Z,45.93775
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T02:30:00.000Z,46.03566
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T02:40:00.000Z,46.038740000000004
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T02:50:00.000Z,68.91157
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T03:00:00.000Z,91.82097999999999
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T03:10:00.000Z,114.52484999999999
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T03:20:00.000Z,92.08977999999999
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T03:30:00.000Z,51.03386666666667
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T03:40:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T03:50:00.000Z,23.0604
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T04:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T04:10:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T04:20:00.000Z,22.971
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T04:30:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T04:40:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T04:50:00.000Z,137.54083
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T05:00:00.000Z,45.92649
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T05:10:00.000Z,45.57412
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T05:20:00.000Z,22.63824
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T05:30:00.000Z,22.827199999999998
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T05:40:00.000Z,22.88983
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T05:50:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T06:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T06:10:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T06:20:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T06:30:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T06:40:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T06:50:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T07:00:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T07:10:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T07:20:00.000Z,0
605db86a77a88b001b007629,47.407812,8.507811,IFU Sensebox2021 2A,604b3430319b09001c518708,°,2021-03-27T07:30:00.000Z,0
